product_id,product_name,category,brand,price,stock_quantity,created_at
155,Quadro Decorativo 256 Genérico,decoracao,Genérico,"8983,68",-1,2025/02/13
13,Monitor 1pol Multilaser,INFORMATICA,Multilaser,"1208,34",-1,08/02/2025
545,Máquina de Lavar 256Kg Brastemp,eletrodomesticos,Brastemp,1428.71,-1,
2,Soundbar 8 AOC,Eletrônicos,AOC,2350.79,4,03-04-2024
577,Fone de Ouvido Bluetooth 1 AOC,eletronicos,AOC,8307.74,,
113,Smart TV 4pol Sony,Eletrônicos,Sony,"R$ 1.590,09",-1,03/24/2025
50,Rack para TV 55 Madesa,Moveis,Madesa,5938.53,95,0000-00-00
484,Cama Box Casal 1 Artely,MÃ³veis,Artely,,160,2023-08-08T00:00:00
89,Cama Box Casal 50 Politorno,MÃ³veis,Politorno,8773.17,-1,14/06/2026
515,Geladeira Frost Free 50L LG,Eletrodomésticos,LG,"R$ 7.193,60",-5,08/13/2023
529,Caixa de Som 12W Sony,Eletronicos,Sony,1801.87,-1,16/08/2024 00:00
500,Teclado MecÃ¢nico 65 Acer,INFORMATICA,Acer,4525.27,40,20/02/2026 00:00
350,Máquina de Lavar 3Kg Electrolux,eletrodomesticos,Electrolux,829.9,-5,2023-10-29
81,Máquina de Lavar 40Kg Electrolux,eletrodomesticos,Electrolux,"388,07",-1,2023/10/05
177,Micro-ondas 256L Consul,Eletrodomésticos,Consul,1017.14,,27-09-2024
312,Notebook 8pol Acer,INFORMATICA,Acer,"R$ 8.657,04",205,07/02/2024
173,Fone de Ouvido Bluetooth 50 Philips,Eletrônicos,Philips,"2381,35",-1,2024-03-12T00:00:00
562,Mesa de jantar 2 lugares Politorno,Móveis,Politorno,"R$ 1.762,22",,04/03/2024
197,Notebook 512pol Acer,INFORMATICA,Acer,5969.58,485,27/08/2024 00:00
242,Soundbar 4 AOC,Eletrônicos,AOC,2781.77,-1,2025-03-27
251,Micro-ondas 2L Samsung,eletrodomesticos,Samsung,1236.53,-5,11/28/2024
125,SSD 12GB Dell,INFORMATICA,Dell,5119.28,-1,2024/10/14
551,Estante 65 prateleiras Artely,MÃ³veis,Artely,500.61,-1,
169,Fone de Ouvido Bluetooth 65 Multilaser,Eletronicos,Multilaser,3787.46,-1,19/04/2026
422,Luminária de Mesa 4 Kappesberg,DecoraÃ§Ã£o,Kappesberg,2745.15,,2024/03/23
358,Ar Condicionado 55BTUs Samsung,Eletrodomésticos,Samsung,449.17,182,27-04-2024
4,Micro-ondas 1L LG,Eletrodomésticos,LG,6369.42,-1,02/01/2024
447,Notebook 12pol Lenovo,informatica,Lenovo,2809.93,448,24-03-2025
575,Geladeira Frost Free 65L Consul,eletrodomesticos,Consul,"R$ 6.322,34",319,0000-00-00
593,Teclado Mecânico 65 Positivo,informatica,Positivo,8650.25,-1,2025-02-05
413,Soundbar 1 AOC,ELETRONICOS,AOC,4766.39,,03/11/2024 00:00
283,Soundbar 1 Multilaser,eletronicos,Multilaser,"R$ 3.272,09",-5,2023/09/21
139,Máquina de Lavar 55Kg LG,eletrodomesticos,LG,"R$ 175,74",-5,
296,Soundbar 512 Samsung,Eletronicos,Samsung,230.09,140,2025/09/25
61,Cama Box Casal 50 Politorno,moveis,Politorno,5700.55,295,2023/11/14
175,Geladeira Frost Free 256L Consul,Eletrodomésticos,Consul,3561.14,-5,01/02/2026
115,Rack para TV 512 Móveis Bento,Moveis,Móveis Bento,3229.1,-5,17/04/2025 00:00
346,Tapete 32x3 Casa Store,DECORACAO,Casa Store,"7019,67",-1,
189,Notebook 3pol Dell,informatica,Dell,888.23,,02/10/2024
495,Caixa de Som 8W Philips,eletronicos,Philips,8465.82,-1,15-11-2024
164,Monitor 2pol Lenovo,informatica,Lenovo,8311.16,-5,05/15/2024
433,Máquina de Lavar 4Kg Electrolux,Eletrodomésticos,Electrolux,2768.08,-5,12/01/2026
270,Notebook 2pol Acer,informatica,Acer,2764.33,-1,07/02/2024
52,Caixa de Som 32W AOC,Eletronicos,AOC,5712.62,-5,03/13/2026
581,Vaso Decorativo 4 Trinity,DecoraÃ§Ã£o,Trinity,"6506,77",215,2024-05-19T00:00:00
389,Smart TV 2pol Philips,EletrÃ´nicos,Philips,2470.64,-1,04/15/2026
294,Smart TV 12pol Samsung,Eletronicos,Samsung,6528.42,-5,2024-07-24T00:00:00
83,Guarda-roupa 32 portas Genérico,MOVEIS,Genérico,255.13,-5,2026-01-21T00:00:00
371,Micro-ondas 2L Electrolux,Eletrodomésticos,Electrolux,1854.99,,10/25/2024
49,Ar Condicionado 50BTUs Samsung,eletrodomesticos,Samsung,667.54,,04/12/2023
87,Guarda-roupa 55 portas Artely,Moveis,Artely,"R$ 3.015,56",,09-11-2024
112,Estante 2 prateleiras Móveis Bento,Moveis,Móveis Bento,5696.57,13,0000-00-00
372,Tapete 512x3 Casa Store,decoracao,Casa Store,"2697,07",-1,28/04/2024 00:00
153,Soundbar 32 Philips,Eletrônicos,Philips,"R$ 5.181,39",,29-04-2025
533,Caixa de Som 128W Sony,eletronicos,Sony,124.57,7,27/08/2024
582,Fone de Ouvido Bluetooth 128 Sony,ELETRONICOS,Sony,7572.17,-1,26/03/2026 00:00
235,SSD 256GB Positivo,informatica,Positivo,3942.81,,2023-11-04
474,Geladeira Frost Free 40L Consul,eletrodomesticos,Consul,"7721,4",-1,19/06/2026 00:00
183,Geladeira Frost Free 256L Consul,ELETRODOMESTICOS,Consul,"4190,28",-5,2024-05-06
566,Guarda-roupa 2 portas Móveis Bento,moveis,Móveis Bento,5014.92,482,2025-05-18T00:00:00
441,SSD 256GB Dell,INFORMATICA,Dell,"R$ 658,16",-1,13/10/2024 00:00
408,Tapete 3x1 Kappesberg,decoracao,Kappesberg,1514.37,-5,2026-05-02
299,Quadro Decorativo 128 Casa Store,Decoração,Casa Store,"R$ 3.738,27",,09/01/2026
589,Luminária de Mesa 55 Casa Store,Decoração,Casa Store,"R$ 6.062,23",,09/09/2025
397,Mesa de jantar 12 lugares Rudnick,Moveis,Rudnick,4900.64,457,31/10/2023 00:00
39,Monitor 3pol Acer,informatica,Acer,"R$ 229,37",38,2025/07/20
594,Teclado Mecânico 2 Multilaser,Informática,Multilaser,"R$ 8.292,48",-1,
326,Cama Box Casal 3 Genérico,moveis,Genérico,"R$ 3.454,92",-5,2025-02-03
409,SSD 1GB Dell,INFORMATICA,Dell,"R$ 5.816,37",-1,2024/06/17
317,Micro-ondas 8L Consul,eletrodomesticos,Consul,5759.55,,2023/07/20
304,Smart TV 4pol Multilaser,ELETRONICOS,Multilaser,3592.0,483,25/09/2025 00:00
